path	sentence
a72f8fdaa367a6cd7e7b30bbe1744b02b4f3b6e99b765bfa618849b362665ba97c7712ea7967824879782e5c5d5874a5805088b720d2d2c59b7c5609d55ea011	el adolescente tampoco ganaba:
c4cfb11a41a9c35a08d5568144d33f12f175cdd7ff312377737500a10dbe569b0306606a33f29a84b8d872b7dc39e1b65d3474b2ce23224f7ff9c33273bb364b	de nuestro barco .
04e1275ef9d8bee11909c88490021ed93323f61d10613bcd9101fff02ba89e740064c121f6f3d5aea4126475fb1dca926e4389e57c7636a6754053135a47588a	como si fueras Dios.
3aa3cd4bd0e99553ba2253bb07866955ff1cf2c925e2b3ebb2307108c44a05e8e5f9c2f93512c562959ccd64bee0237310b3d2fdab1146e9f8df6f3c0e166dcf	lo dije impulsivamente
f98a45a37490a1b239d05db2c25cd5727a179f039284c77fdad3192683e148712d5dacc70dd18b23e4835b4e114e365e27c25b3dbda3923eb6606b23eaf154f9	solo un poquito.
ba9e8ee4de27fa49a9eedbc5451ebb9c3416de18cfa6984bef21d015225d275d17cce7b298f9e3ae8d2f5079e1f426163525657edf2914dbe8ed6f8f8a4bab59	bueno. chao, amor .
a53fa1d8c4598693fc65a8247e0c02ac9eaef8c1861beee9fa211554597b3eeb705e6c0c70264b3cc422c3dad3bd24c95fb1eba7ffceb94b0efbc06c2827a82f	yo repuse sin orgullo:
3344595de8a4e29cc675d63997f0779a2057e2cfff28bf0f0e539e4ecf21e1034c83a480608a1674bd3fe66d6fa8d57211f585bdfa96f76dd05e7471bc226843	como cabos, bombillas.
01b1900fde179fdd382813812daaf6408fbb531cd19a7f7e41a9a8dbd5c3e618389c9c6fcf820d79cc75553d7ac6af04095a02b950c12272910c8e870124d4fe	Ricardo... paloma San Basilio .
eef56026512a988c368704e577cab96a0eda5ed1a19bd51531a169aabb53ea4c292b2536e2a48854ad561846a679157d56a0531fcb30b6b6451cd6380bf5edd9	Necesito reparar mis impulsores turbo.
8c32a6021c3add4b5529fd4d0dce1f1c27ed10b89133a21864e1c3303a4e4b81a63968f390c3c4c6ae8ebc3777ed1416c37cd008805eb5e22fc682f6aaa78b08	capítulo cinco.
b0ba4b759bf378094110edeb2eed58b64eb550e0611b3c99dbbd0078f85c218461740a32ffe6de36c21c5f4a60befc697a4c02a2d91907c3be6292fa6a458bcb	¿ va usted muy lejos?
fdd814be57287286b84d8c714290ad0a4d8f26f089202ffd67364140a49d85b60c8f3b3a126e3981b75d3c354ea41d601dfb87994c0aa9b6d6d298608122bf5d	Ulises, por favor.
dfe3683f889a9b78f65a4b5cdedbddba54ee65bf59df88ebcc297ab28839e95ba829b10b1f0f9c17622628d3b3deb027784cbdd5cbdad3568d2d3afa16ab8ad5	la sombrilla, Ricardo.
3ec0136fffac824e705a6b54e6bed3fbf4b66056957d37a1bb3cab59a530fadaa93a3d07c144e10d54a1c8d0374291c544f754cd280587337dd5d8a04c8546e0	ni rifles ni escopetas.
f735bc4615028e9ecbcd9328aa9d8e85f037bb9bf3bd422b0e695cb199283651a77da52e8732cbb193073bd0f5993b9fa3136c09bc5233a1c17ae3ebfe97eec5	les... les han matado .
47da16956075818f83ccd95fe0de07b4f42c6f1e2ced0efe18d447990be61f50501d5eeca68a428d3af50110e3d6c36512f4da6abd29aff72d0c01caf71a055e	Uh, correcto. Permiso concedido .
e0b9f37357ebef8067c560a0874ee66f36dc9c5f14f469baeccab6db97e9898a904a42371a6f42c3416282af6130ffac0cd4b87bd3b4bc148b239c5497c71ea6	es diferente nuestra ruta.
9948ea4035e3f8c3203d6b3f61461bccf7227b7dbd7306cb5e5aa84af255b45cc322cb1e8cefe074e70222915c7ed68ab62827c2003578a808031f1beb2c944e	A mal tiempo, buena cara.
4f19c9cee4037a25b167de2926433d53ea21f6def8cd3dc9fdfcd1bd5efb8195c4dcf8d0ae77a8a4ff6addfd0fade4820b21309307cb37aaba46d7f838b8fe11	muchas gracias. bienvenido .
74eebbafb00c14e5329ba2e537bf49512a019dcfde0c7be18075b0ad39a56460604106170129a89d28a9019383b58e8b094b7c68c858483c922f9d6cc09dc244	como una santa.
e7e8520ceb507351e9d32a600e21c388443bb22279c5c363100468159c52a6443dcef0bd0c9aa43c0e8ae9e09758d4d9a118585aaa8b4499aa2ba2836557a6ef	estoy embarazada, embarazada de ti
c79c06767393f14caaf72a76295d7fad13a3be6f9dad41eebcf497b3ad675ba4e3ebfe6c818e309281d1a72113c5edc72744dc5ae14185a189aef838bd27e83f	por incompetencia cervical.
5051e1e9d72a2351df398144961abd10977a702fbc7993710be58b548a8f64135558530a6b0a68a7a073af7b8843c7c8d51b2820d5a6e522bc8377367918c3a9	Más vale tener que desear.
dcfe6e5065b2564ef178a2c768f4fce52b9d6a134c7714bd1d5ebebd47aa56ae7ed7e1c5e5bbe9556c12f6840801d81f6cf6991e045cce7ad103a8be367c3213	Lo siento, chico.
7de2a09fcd23be8fd57ad5497e87855831b98d30df52a40b895d6565dc3a1c4febefb7a5114a24bd970a093f98120f7bdbe9cbbf787df127746d913a4e16322d	Saldremos en barca, Eduardo.
924edc32efe549584e151f5f9dc624a96c9f85ab362c89687952304a31028d5e1c68d4f0e2b4e5b807b071352f920085b351b51f5a3192e8c5f980b5a79654b8	gracias. gracias por venir .
6cd07363a5071ce70d6b3f62564fb8a831da9c6efd904966b4717e8ec83d4f1d437313251aec93e024909dd75391184b388db9d335de042a061cd9835178104d	Pocas personas saben tejer.
bc0197f695734e185a77821b52b2a1e022b74cf75a29207b8fdb679ca3c401931e07530e2f3a8853210f23e2d43a11beb25a4aaece7720900c70fa91e4cdc635	Pronto las mulas quedan desenganchadas.
ecf77a9eefad266084fe0da34774d5d67ea80df1a71706f10ae50832a6f439cb4c6ec39ec54dce0a9127d81b6a043308ace89e2b3e57bce04b414f37fa9593d9	capítulo cinco.
ce2981a263d3aea6c935ca5e32d34169c7acdae45767d56c0dd624bb4938c233ceb29554a29e6a22cfab9386099fb0401faf695f7e27d332d5724847c8c5be11	pero por dentro tiene helado.
c88733cb78e5a93c9bf5d5d6534b839fe75eda59b0dc6c8a15fff93b0a27b1649ced8c815db6d29b1c6f4ee1414e44d33651bd939bcd2f0b5c3874d1db879beb	porque nos quiere, Julia ,
ffde94ea421ae776f447d9f17b6a2e943b90750979aca17a7a0f6c3f8ce1a3071a5547db65823f6592c3b83275d77e72456d2b408bf12bd7b262aa8e4010eb3b	Al saber lo llaman suerte.
338a10312736e30d8c849c07dc4b41e17b538de10b240419368943e7380905be57b92fd4e881a0257d5e5f51697be7b9255b919283651699db07d5479c87428d	no...
0ce0eafc8580764a3561328f1fbde3742cd7a79dc21185a6633c90ad9c342f3aaec0707c99ec7a1d1aa0d9e5551b189b25d36a6ac0fc76eb7bf0ae52dfa3b838	Tiene que haber otra salida.
200ddb8c0624f8f34e626742ad8b1360e6755dbca72b53ae29756898f1fdf7c34ca42831ef8f65adc965e728768b50fbabda32db608b29da35f1e491bea215fa	no estamos solos.
87ce6631b411fabceb8908d56597acc3a36ee2eff59a26877667c1c89ba29f072d798869d697347b706f3dc1e28bf9392a11aed5f866d6baf61bda3a40d88ce7	la noche se avecina.
c778bde1a67f59e26633d86f983f10764c69d820d0cdea4b374f790f411060cda8fc6e230d24f4fb334cc855704bf1de93abff3d78d889c3b8c5d37e22d00e1c	capítulo dieciocho.
66fd3e1e6013e6c67c1caced57146d8b9c61c6f82d060c5deec1186e52414629bedbe0314aafa216346b829079c3e630f958eb9ee0a5dfa7f021f3d80b47a6e7	¡Cuidado!
9cdae74d20360b5ae32555cf20436f5963647676396ad19f9fec2c2d72867029f9ac49e41036cdbfbdc0921251529dfad61871acfa49a38d1d0ec6835a617a2b	lo siento, he sido yo.
6dca2871ffccb979f08b7d7fbd19ac9fb5c7d5fe677923de1acaf795a79d187e08f655dae6436181d941781323237bbe420b499fbad3fbd779e560351bf0118a	no tengo nada que perdonarte.
bc14325a09c86f42bdf422392b58c76397158ef78b3af038d7c9919b17bd8ecd172b9a8387bb2bb4e4c99630a76422a9995c2f96a4cc736e4d1b9f982b34fb67	porque somos gente querida.
4b364341c1ab7e101d05c252cd485b1ff178d0fc65ffed6cbb445cd31a3b9a4c350b4e81cae19eeafb8be0f801022337a368c677d5a083dbf8df42b59c857565	me han pasado dos cosas
20e648b438638b865bb7788d7de32baed331639d418146a6884af983db94817826d2b10399b5dd5a815b707f3534c630ccc8310775132df0bd3e33e81868bd6d	pasa por seguir rumbo suroeste.
9f23a04971a4a230547265c67a6d3d375e1399e9b6cf1747e5072a117fe948305927a5fd3a3179f7fd260aa677a52420c0fd8947cf8b03619a9b9cb843fea80e	¿ Quién tiene mi sombrero?
f4d3583350ec0d98b5a6625076319c6b4df2a42305b3810257667a8096a30e21992260a6ca57395b0ca8f9ec40837e7f296a130e002a2c69162dd5ecb0a644fa	capítulo dieciocho.
0f9e960d34ae0b1acfa0aa32055af7d25bd70a5318f3881c5114968899d318ea8c7aed1056250f2b53a374c046410b43e6660b788063481307ce0f0483ef1a8a	Quien tiene boca se equivoca.
99a5e1e17054a75081618bdf8d4b2799aff32707f9bdd6501bf8f0b601a705d59ccc273b4dee8198e35e81245183ce96a06d924816ffced5b23fbc99913fda31	La cena ha sido cancelada.
8cc610c4b671e5faa8a4f7e01f59c070497c40e3e7ddf90b2d9f218127e158e52fdd2cc3d0b9983d7cd0c196fde154aafede7faca759ee5ca2a4db8769c84c19	¿ se la enclavo, señor?
77216e1be11e7d0bc4c91fb5e6d2987e5c6f5f585804d744b4449e70a8c8454582f89453dfb8071d240082d308a667fc35abb4142be34eb5db281da4d5ee7e78	Salgo a las cinco.
7b0203e77136dcc131d2d20d65541ed9e03aba203ad5db9d9f3b9116eec3dcb20c3891786d3874b747520b8293fffad020fe3de45de7fbdba4d83f147b547642	que puedo cambiar.
88eeb312d1c675550289224121106d43f0dc262190c2e8ffdb50b63f853fce9a84811968c4e17968591d862a0679de85c4301a06a7b39ce4bb90e3c471fb45f4	hazme caso, por favor.
f05c3d54cf24ec1bf1d2453ed054d353faff9a27a28a7b566e59ddf5c2884c5833e10bdf95fa20c20992e6aa2a0dcd7ae288606a006ff93c9e33757596570d7a	burbuja, te voy a matar.
f327aea976b43ba3b9e261fa1ac73591777a8322a3ceb0145ee24c065de599a9ea0ddb9e27366c9384316dda8de26578ef817d25b39ab739dcdd2f86e109c5df	las puertas y las rendijas.
a74881c4bc983a43a3cb5369458cb51ef845337a26e0f0ba2d1583d174bda43336d71a5ce683acf83919bcb0f126779c0130698c934164ec6396433db9f0c65e	Mientras hablaremos de otra cosa.
63092e142ac780cba0d53b450450a11635615c9b26b5bfcbe48f03aa96d50709e6394d64a062df87c5d463cacac8e860ccc65bb5694ca2d609bb5e0558f8f3ad	es un milagro.
094620417b27e49b6d743a8c92635965f101ed119dfde217bc47eec906157f00018d0f885e2856b334bd1623bda5617cef4cbc158f4f73e6fdf74e6b87a7ee02	Hola. Hola mundo.
44484f80f0ab7ec1d3726b5bb8b68c251bdda340ff4a92f30872ddcdb928b21310e58c15cf1ab3cc6fb58abea5e9878094bda1b541e8373b448c7e56f0f02273	Os dije que era culpable.
7c5d9d43a5c4fa1e37079f3741850576ded57dccbaa0cd99873a07bf71e03083c52262dd7c8ff587a6da7c3426bb1a2e1146a6bbb261f939a6c034d6ffddd53b	¿ Y le dejáis volver?
916c70655dde21a2dea5ddc99e40c840c3ce0d2d4093454073fba27049e6f8431d6b07d228fba6b9fd6da3ec55f33bc0f193c330b4271b259929f294c28503af	Ven con nosotros.
4dc85cdf661ce0bd090d67287d19e99ed1a916fa985eaf00629958f3b70af40a11e8690b8b9d26d16762a1495d93514568c2bf64ca7c5b986076f867bf3ea9f9	El autobús tarda mucho.
5c9c19129a27df8a3ac1ffc7f30a78e5c44ba06f13aa8fbd70b5665d1100e054b1615079aa83f85e07592bd0738bc45cf2193a79386b8d055322e337c581e914	intento evitarlo y no puedo.
68651d5c73f8cdaedb1298c0d7c7654e1a2db232ebf23a4b62d2618f93860017ce599644a78633a518928fc8fe9af9737f81e4ad9b92e8de43caa81b79295b0b	No te vayas aún, ¡Juan!
0f5acb3ad253741e6ee660cce345ec0ac261d40a3ed0ccd562073fc604c86a2e236c336e9f082354487cf9d288f431746d960f230e2e5d3f68b2d530476fcf05	yo tampoco.
874dd92ff916e1e6992ee52f043bfc2c4b436f37aa8832e45cab25e412946b0a84bf7e830129666c48421d420ffe7d13c9b9eed62e5e3936dd63c58e396d88f9	Siempre tiene tiempo para todo.
7cb69b85c73cbb0f562b2d90c7942712a29381b568e675af43c7d8046c2bb9210e7eb068045ddd9dc9371d00e3c003dc18e6392663006da0e72d8457b0f7a7f3	contigo estaba aprendiendo a recordarlo.
4b208cc33c1788d971eed31e8b7d923071efdc6935418b2f742ac6d4df33b115f15450fc60796ba1db40508a9c113f70e08cfa927833a415f7a3ed34521ebf89	esa historia me suena.
19caa709c8d6d2e2aa14c0b9ca59feb2029053ae492bb8561961d5bf7e593b79775339f5cf28b1e5b65afb32e6f23765bc3ddc5015e59edb098fc77c1af3cd0b	No lo he visto.
03ae027ada4ad50ad5e157ad7906ff44dd670e16167585dca388bfd0ccce388fce6212de8a49686d8229fe041569430fe294b341a567a638cfb438213ab36596	¡ me moriré!...
6e0fbba0bd5892ecae5efb2e09fda32a0c7c545ec8d28650d078e6210c10d95db015f756d56b61b18891d343a47f133218b21f301fcb407e5808d36c16144e8c	El que busca encuentra.
f784e8b47e0f3718e0f2270006a932cfb302e577c23758221b8ae495e50ce7988c5f479bb667ea210d4665e466aadf3a09611c7c3a72c25c522e0f12c1644fae	Somos tú y yo, muchacho.
ee5215b3980848363c5dffa99aa3c47b09a627b357bb8a2a8552aa83357ac0759d08e7e4fc9f754cc4a04947b9414a2c7176262f877ab09741529b4c42388195	Hay manzanas para merendar.
65a102c68e850875ee32c8312c1e455b0321853f33c58fb21a8b2c9ee23a362b00953796865f5c96b957ccfbdac51e091db8e3a4387a31c83bd662f86895dbb5	el diente. entonces
94ed9ab9880b2f5eaace21d91e9ef5f617ed83d08bbc8f6ae4f03893ef8be63f17258b8b952faf2c34a8ee10b12eb74d3af9eb2151ad602eb2f84b417b1d72e1	¡ qué hace mi señora!
ae905f84779bea226a65216183a4b27ab979a3f26bc079c04f4a78cb7fb0f06779170925eed41ff0cea3c2191fdcad6b95c5b845b6d931529a85d4fb271f78a9	no se insulta.
415516de564b0d2f93f5b8f613f969bba24936df1ad6c06cd9f62068284bba34b368cc7aa6f0416d7ddcfd8d2ed8c8488692e897630f36e822f502094ef6f46c	Los juguetes podemos verlo...
1f1c36b5a2b2f275bd3e6b0c1bd6bdc8f07a199f1d9c8deef0d0470e2fc4c0ceee9945db25167ff875675ab4c59e14efd71f09d1f9c703fbb090fa56aa40dddd	yo me incliné para besarlos:
eecdd0282a974a2134dea53a9cc4bd4add6c16fc591e3de5e9d2f6e6e9aae8cbc6c1d8236f4c5cd01a72f395b1aa14c45baa7651e5eae6d4219f5cd027ccfb3f	¡ es tan bonita!
407d8d81785c88ea09d69fd0e47a644bcedfb64de86d18e170f43d7dbd0425019dac2614012f6d46e109e0e410b5bf35d37352b24cce67e240191de3d5c8cc7f	¡ Muy bien, en marcha!
4b532e2ba40b2297502ffaf6ff27a00ae77fb74cd2ac279c6cb0e1bf4e0a331f2ccb4417b2d22632c6314bf7809e73857e32aa71ad488ee051ed2083c37cf70c	nos iremos al amanecer .
3a0cacd8ba98d3318b3e598f4fd8a9c7ced6b803a84473f20b02bec78de48e20f64b9f231fd5c5e80a389ff568241eeef865f5efed01d59ccf1cf03d4fe19bd2	la Niña Chole le llamó:
c4753ba6a6cfd64f8d1df1d3f2e2ca1ea08c1c25e95b4749626b5a6dee5bdcbfaf1e817e4b0042902ecca53918b70496d151d3280759c6321da6a53c0c9d459e	Este verano ha llovido mucho.
3981d9b4074fb6f7e26f4bebf0989936e2937e90dff9d85d8fe68facead4f9e7fab549295c543a08e07d832c60f3c1697c6b9ada2436076db94787f941ad1a8b	Necesitamos vacaciones.
022bd5877ceb498d7cb46be8aff56fb57605bfcd8c06520faf706a638a446f7e7e5c7bb21290be9c7cd3dba3074d0b80025bfb5ccd2d861173197b1073b1481a	no lo han sido.
a50990f353e1d145bbeeabd7aeaf9278e8c4c5aad070c04ed502bdec716e5f44b9ea62467bbb861cd41541a7f47f7811cbf281166a1f6c0a1ec67faf51e6467d	¡A la cama! un soplo.
7439d122e13b8be938bfea8733e347a750a9040e1944420db12c341f80f5c3365370ff3512f9d007c19d8f9911b95d09e037d7ee6d10193cdeb40974ea43cd48	Vamos, tenéis que creerme.
4604081eae41092b62af03ff17ebc456f8a2789785aa66e3ac35286b6eda067d9d975134be03e0a2ed31d6ace51547febb8bc899d94df69111ee83da5e8c0b4f	¿Cuánta batería te queda?
3e7736b93ddc34683d6de5a50bf3e6cc4e904f3b81576286957b112f9e736f80c5a1ff3fb4a694a98fc5cb30fb68fadce02cbbcec458896ce8bfee826d81b63f	cuida a Estela, por favor.
f2a87e9ada2a9f8f917a47d9f9a09423075af5e0beef4563c206c0265bb46cd594847d80b6cae963f60b4d334f9020d67e8e940e0d4c1ad75467bd1ebc55d196	Dale cuerda a la rana.
0408b956c814ee9cf0bef2550c1d20515414d40be34333ff325a261854cdd8976cc7f58cda7e029a543739e0e84f5ee27b462fd5c4fdd9303fdffe9637acc4a5	esta noche? claro.
85e2a88115d798686f95552250e192f6fd8571772ea4eaa82c2b410f3f433a73d8114344738341d5f0686aac672119e9516d4e95decb96221ce95179445303cc	El pasado siempre vuelve.
a019d1e13deae0d4f29f9c670ef39ada8bf2b7e47138f71bf5b8352050af051079f273ae4ea92864c9fdf7894044575144c3f9ea4c18029f1b152a113f1d3df0	Y tú, ¿de dónde eres?
115f85d08b2cc5f632f2a50220150ae5f10990258d262b95a2ec4202a3416345a146a1c0a426ee10e6f997b7703f0813aa784892e3d2f4ff9aa56014e044ed58	era viejo y avellanado:
d47e1684d024441d269720b1e87f44e0783d12eeed5d7c587f0a4dd2a07fe02a42f24b430d654c1306bc51af5242d9d5811f0efb7a8837621a74be549ce4baee	por lo del hematoma.
59d76b1c5854924d77c5f0b9f31b0683ca732bb6b89159f1a09b8df5f778c13c824cbe31c03ddd53f6a27b10e7b5d7d205f6e53ce7ecb75c0a8035d3b3a08935	El anterior era Marta.
4306811d842dbb15b12a397438d0494d51de74e9f27ffd54f179b93f1ee3e40354386736fa46ee6c7b8047f0cb7032b5f717e4e42f90323582b5ec90043c2d63	Mañana iré al homeópata.
123556489166320364b697d47edc2f798fa3f3222c65cc65a93dcec67e339363e1a5ae8b7bcebfb2e83ce17f5866fef7b9e81dd84ffdcdcec8f6ac3ca3c1726d	Ordénalas por orden alfabético.
758991e93d6236bc450f8d8b98c0678a11af8d493c59eea9d7a8c67bdc219267576a9caa8781d282beb6efe3464c34992a444000fb397b156be907934c859fbe	respondí con una vaga sonrisa.
f63c9342064a824f75410b779060d4ece601003fb20f629ab74fbb4cfd148bf1fdcc78e799ced49ca9f4d1c2c3f6f3ae4d3f5509f6a827e358d20ff04458c76b	El autobús tarda mucho.
9d13c706fd1499e6850a20d949f43a85b29f36b373057b2087748a030b36607d2c6e4e9c229ea63471a1df94e507e59add219c6a8418cf04b0a3480ee12b23c5	ni familia, nada.
65a2b3b0e0461061dd0ec4dbb59531caa54ff0a30d98806fa0951277b5d7793960fbd618da6c0a1165c7926f31b9ba4224f15c09c22920ee7afc7fd01692ca31	No tardaron en llamarme.
683fb2385aa9a173a741ddc5c818b7e060004c8ae03e78482d7ade265ba73e7d188b7b99d811d6ba9fb687a6dd4144a749ee2078cf06c0708548e77a5c0e478c	nada de viento.
99330e3ed943f30da4534c509ce4d9334db56d193789900d70916bd3a69e5f6eee92cc7245fc3368cfb7f77a9372f6a80ba5336ad74f9abea68bd72f402f1fb4	Así que juega bien.
8f08918514493e062b8066ccc95204e7650c5781d6ae0b6324e0111aef2f04b2ce18435a104a672e01da2538c3f028729ac2dbc9b471dab124282a2c2fd9f90e	y te conozco perfectamente .
08a69c65a946947ffff6c9894bcb0cd65479cc192be68fda6c9b5e2b3ee5b5b4837d491338c61cf5547755139e5c488900f3eb314d493dfe7b24dd5391e390fb	de color morado.
aea98c6a7007a23a9e660dfa25f59e362384c16cf61e89f295d97be9b6b708ff703f59b7d302e05436ca48a8065124a7482ec446ea744f30918a2cc7c50a8566	Quiero montar en el pony.
6a66ecea4749feab803bfcc1b8867789d76bf81142247e038c0a12d8f046f496487e0896650f45d435c3b237ef93637229fb100dc31878f962c43e14b2a60ece	Llegaremos dentro de poco.
691348115dddc86846944937c887f93724d7c04a398e019fe98a14796423f46df510bef371554ab9f28c6572c749f0b8075c68ffc6c857f01dd577dbacdf2153	sí, Madre Abadesa.
40b8217d1b6abb75fa51a132d6253571be3b60c855c98192db511d60534316a9cde956dd210bc3f66d550b8fa30406c53ab1f683d3c91db951cf0bd26d6a8704	Estuve casada con un historiador.
a0abbb3cc55b3efe3a04701eb79467d04145bfba64c230095dc55e5e54979a1206cf0c26611775a0fd30abd0d18005562d29f1bcab15d216b66b73c0234ec16b	ahora, largo de mi cocina.
fe0bfdb2bdf7314e0c19ede0c4e080d96bc35bb97016ab15e905237137d616568557002d866d63e793fcc8ad74398b6bb6ab717ea3a0141dd47946d35f805d30	Quiero un ordenador por Navidad.
f8336c9f63dba8e31508abdce3998f0b17f210d04364fccbbb4eb99d534fa63a8fdf58f9e545832a147270fcd71c1baf0b78100c831e104ba9ad3e50e19a83b6	Me siento entre las estrellas
9954ea5a3871d00b96ff6858a3333e393f271b2ee6dbf1c2fae387dbd199780b9afb469a01eb53b02646e13b7253d20ef217fbee6819d15718a00e1d59826d93	su picadura puede ser mortal.
e01f37700fecde9891f3824a03a0c46a75445a50f5a2563008142318f0bb78c29dba75cf70e91e6a4fd3b2b8c06822e874d3ddc61b3c5f5f72e293560646f1fa	cuida de los chavales.
fc4a0f8c8b7a58471254249ae13c8d6daa96258354fd3224d00c6980b38ba528e8e54856ded968828f4eba0d794e6f83ade71040af3bfedca584fd704693fa68	yo, por esta.
0582afffa4f3d6ed425cb0119ad925c1a5c4442359d7a0310543465c8a482a7e5dbdba9118bed158f3aaae15bbb76f18322b527b733fb81349d07474a60fc90f	Lo siento, chico.
4afec8d50feb955e5ac60d665d49fba0689110b21ce4fbd1a1eb35bf1abdc040c6e12c6ac0ea9a4f05c484430e6b01c838bc72cfe1223aed2a3331836c216ee1	pasaremos esto juntos. vale .
